間 3456 B4D6 U+9593
閑 3457 B4D7 U+9591
関 3458 B4D8 U+95A2
陥 3459 B4D9 U+9665
韓 345A B4DA U+97D3
館 345B B4DB U+9928
舘 345C B4DC U+8218
丸 345D B4DD U+4E38
含 345E B4DE U+542B
岸 345F B4DF U+5CB8
巌 3460 B4E0 U+5DCC
玩 3461 B4E1 U+73A9
癌 3462 B4E2 U+764C
眼 3463 B4E3 U+773C
岩 3464 B4E4 U+5CA9
翫 3465 B4E5 U+7FEB
贋 3466 B4E6 U+8D0B
雁 3467 B4E7 U+96C1
頑 3468 B4E8 U+9811
顔 3469 B4E9 U+9854
願 346A B4EA U+9858
企 346B B4EB U+4F01
伎 346C B4EC U+4F0E
危 346D B4ED U+5371
喜 346E B4EE U+559C
器 346F B4EF U+5668
基 3470 B4F0 U+57FA
奇 3471 B4F1 U+5947
嬉 3472 B4F2 U+5B09
寄 3473 B4F3 U+5BC4
岐 3474 B4F4 U+5C90
希 3475 B4F5 U+5E0C
幾 3476 B4F6 U+5E7E
忌 3477 B4F7 U+5FCC
揮 3478 B4F8 U+63EE
机 3479 B4F9 U+673A
旗 347A B4FA U+65D7
既 347B B4FB U+65E2
期 347C B4FC U+671F
棋 347D B4FD U+68CB
棄 347E B4FE U+68C4
機 3521 B5A1 U+6A5F
帰 3522 B5A2 U+5E30
毅 3523 B5A3 U+6BC5
気 3524 B5A4 U+6C17
汽 3525 B5A5 U+6C7D
畿 3526 B5A6 U+757F
祈 3527 B5A7 U+7948
季 3528 B5A8 U+5B63
稀 3529 B5A9 U+7A00
紀 352A B5AA U+7D00
徽 352B B5AB U+5FBD
規 352C B5AC U+898F
記 352D B5AD U+8A18
貴 352E B5AE U+8CB4
起 352F B5AF U+8D77
軌 3530 B5B0 U+8ECC
輝 3531 B5B1 U+8F1D
飢 3532 B5B2 U+98E2
騎 3533 B5B3 U+9A0E
鬼 3534 B5B4 U+9B3C
亀 3535 B5B5 U+4E80
偽 3536 B5B6 U+507D
儀 3537 B5B7 U+5100
妓 3538 B5B8 U+5993
宜 3539 B5B9 U+5B9C
戯 353A B5BA U+622F
技 353B B5BB U+6280
擬 353C B5BC U+64EC
欺 353D B5BD U+6B3A
犠 353E B5BE U+72A0
疑 353F B5BF U+7591
祇 3540 B5C0 U+7947
義 3541 B5C1 U+7FA9
蟻 3542 B5C2 U+87FB
誼 3543 B5C3 U+8ABC
議 3544 B5C4 U+8B70
掬 3545 B5C5 U+63AC
菊 3546 B5C6 U+83CA
鞠 3547 B5C7 U+97A0
吉 3548 B5C8 U+5409
吃 3549 B5C9 U+5403
喫 354A B5CA U+55AB
桔 354B B5CB U+6854
橘 354C B5CC U+6A58
詰 354D B5CD U+8A70
砧 354E B5CE U+7827
杵 354F B5CF U+6775
黍 3550 B5D0 U+9ECD
却 3551 B5D1 U+5374
客 3552 B5D2 U+5BA2
脚 3553 B5D3 U+811A
虐 3554 B5D4 U+8650
逆 3555 B5D5 U+9006
丘 3556 B5D6 U+4E18
久 3557 B5D7 U+4E45
仇 3558 B5D8 U+4EC7
休 3559 B5D9 U+4F11
及 355A B5DA U+53CA
吸 355B B5DB U+5438
宮 355C B5DC U+5BAE
弓 355D B5DD U+5F13
急 355E B5DE U+6025
救 355F B5DF U+6551
朽 3560 B5E0 U+673D
求 3561 B5E1 U+6C42
汲 3562 B5E2 U+6C72
泣 3563 B5E3 U+6CE3
灸 3564 B5E4 U+7078
球 3565 B5E5 U+7403
究 3566 B5E6 U+7A76
窮 3567 B5E7 U+7AAE
笈 3568 B5E8 U+7B08
級 3569 B5E9 U+7D1A
糾 356A B5EA U+7CFE
給 356B B5EB U+7D66
旧 356C B5EC U+65E7
牛 356D B5ED U+725B
去 356E B5EE U+53BB
居 356F B5EF U+5C45
巨 3570 B5F0 U+5DE8
拒 3571 B5F1 U+62D2
拠 3572 B5F2 U+62E0
挙 3573 B5F3 U+6319
渠 3574 B5F4 U+6E20
虚 3575 B5F5 U+865A
許 3576 B5F6 U+8A31
距 3577 B5F7 U+8DDD
鋸 3578 B5F8 U+92F8
漁 3579 B5F9 U+6F01
禦 357A B5FA U+79A6
魚 357B B5FB U+9B5A
亨 357C B5FC U+4EA8
享 357D B5FD U+4EAB
京 357E B5FE U+4EAC
供 3621 B6A1 U+4F9B
侠 3622 B6A2 U+4FA0
僑 3623 B6A3 U+50D1
兇 3624 B6A4 U+5147
競 3625 B6A5 U+7AF6
共 3626 B6A6 U+5171
凶 3627 B6A7 U+51F6
協 3628 B6A8 U+5354
匡 3629 B6A9 U+5321
卿 362A B6AA U+537F
叫 362B B6AB U+53EB
喬 362C B6AC U+55AC
境 362D B6AD U+5883
峡 362E B6AE U+5CE1
強 362F B6AF U+5F37
彊 3630 B6B0 U+5F4A
怯 3631 B6B1 U+602F
恐 3632 B6B2 U+6050
恭 3633 B6B3 U+606D
挟 3634 B6B4 U+631F
教 3635 B6B5 U+6559
橋 3636 B6B6 U+6A4B
況 3637 B6B7 U+6CC1
狂 3638 B6B8 U+72C2
狭 3639 B6B9 U+72ED
矯 363A B6BA U+77EF
胸 363B B6BB U+80F8
脅 363C B6BC U+8105
興 363D B6BD U+8208
蕎 363E B6BE U+854E
郷 363F B6BF U+90F7
鏡 3640 B6C0 U+93E1
響 3641 B6C1 U+97FF
饗 3642 B6C2 U+9957
驚 3643 B6C3 U+9A5A
仰 3644 B6C4 U+4EF0
凝 3645 B6C5 U+51DD
尭 3646 B6C6 U+5C2D
暁 3647 B6C7 U+6681
業 3648 B6C8 U+696D
局 3649 B6C9 U+5C40
曲 364A B6CA U+66F2
極 364B B6CB U+6975
玉 364C B6CC U+7389
桐 364D B6CD U+6850
粁 364E B6CE U+7C81
僅 364F B6CF U+50C5
勤 3650 B6D0 U+52E4
均 3651 B6D1 U+5747
巾 3652 B6D2 U+5DFE
錦 3653 B6D3 U+9326
斤 3654 B6D4 U+65A4
欣 3655 B6D5 U+6B23
欽 3656 B6D6 U+6B3D
琴 3657 B6D7 U+7434
禁 3658 B6D8 U+7981
禽 3659 B6D9 U+79BD
筋 365A B6DA U+7B4B
緊 365B B6DB U+7DCA
芹 365C B6DC U+82B9
